entry_time,exit_time,side,entry_price,exit_price,sl,tp,result
2025-07-11 16:45:00,2025-07-11 17:00:00,short,1.17029,1.16893,1.17029,1.169107142857143,tp
2025-07-11 23:30:00,2025-07-11 23:45:00,long,1.16817,1.16871,1.16817,1.168794857142857,tp
2025-07-14 09:15:00,2025-07-14 10:00:00,long,1.16621,1.16636,1.16621,1.1669445714285713,tp
2025-07-15 03:15:00,2025-07-15 03:30:00,short,1.16721,1.16773,1.1675507142857144,1.166801142857143,sl
2025-07-16 08:00:00,2025-07-16 08:30:00,short,1.16198,1.1618199999999999,1.1623407142857143,1.161547142857143,tp
2025-07-16 09:00:00,2025-07-16 09:15:00,short,1.16204,1.16221,1.162415,1.16159,sl
2025-07-16 13:15:00,2025-07-16 14:00:00,long,1.16141,1.16174,1.160855,1.162076,tp
2025-07-16 14:30:00,2025-07-16 14:45:00,long,1.16108,1.16106,1.1605835714285713,1.1616757142857141,sl
2025-07-16 15:15:00,2025-07-16 15:30:00,long,1.1601,1.15944,1.1601,1.1608122857142855,be_trail
2025-07-17 03:30:00,2025-07-17 03:45:00,long,1.16283,1.16208,1.1623878571428572,1.1633605714285715,sl
2025-07-17 09:15:00,2025-07-17 09:30:00,long,1.16092,1.15831,1.1602996428571428,1.1616644285714286,sl
2025-07-18 01:45:00,2025-07-18 02:00:00,short,1.16138,1.1618,1.1618057142857143,1.160869142857143,sl
2025-07-22 04:45:00,2025-07-22 05:00:00,long,1.16844,1.16883,1.16844,1.1689851428571427,tp
2025-07-22 11:45:00,2025-07-22 12:45:00,short,1.1699,1.16993,1.1705464285714284,1.1691242857142856,sl
2025-07-22 13:00:00,2025-07-22 14:15:00,short,1.17056,1.1702599999999999,1.17056,1.1697354285714285,tp
2025-07-22 18:00:00,2025-07-22 18:15:00,short,1.17224,1.17327,1.1734207142857143,1.1708231428571427,sl
2025-07-23 08:45:00,2025-07-23 09:00:00,long,1.17288,1.17305,1.1723521428571428,1.1735134285714286,tp
2025-07-23 10:15:00,2025-07-23 10:30:00,short,1.17472,1.17451,1.17472,1.1739374285714286,be_trail
2025-07-23 16:45:00,2025-07-23 17:00:00,long,1.17174,1.17264,1.17174,1.1726674285714287,tp
2025-07-23 18:15:00,2025-07-23 18:30:00,short,1.17394,1.17344,1.17394,1.1728394285714285,tp
2025-07-24 02:30:00,2025-07-24 02:45:00,short,1.17779,1.17768,1.17779,1.1773794285714285,be_trail
2025-07-24 03:15:00,2025-07-24 03:30:00,long,1.17692,1.17709,1.1765742857142858,1.177334857142857,sl
2025-07-24 09:15:00,2025-07-24 09:30:00,long,1.1768699999999999,1.17667,1.1764614285714285,1.1773602857142855,sl
2025-07-24 10:00:00,2025-07-24 10:15:00,long,1.17578,1.17688,1.17578,1.176362857142857,tp
2025-07-24 23:45:00,2025-07-25 00:00:00,long,1.17527,1.17454,1.174707142857143,1.1759454285714286,sl
2025-07-30 03:15:00,2025-07-30 03:30:00,short,1.15571,1.1562299999999999,1.1559942857142858,1.155368857142857,sl
2025-07-31 16:15:00,2025-07-31 16:30:00,long,1.1417899999999999,1.14093,1.14069,1.1431099999999998,sl
2025-07-31 23:00:00,2025-08-01 01:30:00,long,1.14132,1.14181,1.14132,1.1421599999999998,tp
2025-08-01 03:45:00,2025-08-01 04:15:00,short,1.1428,1.14269,1.1433875,1.1420949999999999,tp
2025-08-01 04:45:00,2025-08-01 06:00:00,long,1.14126,1.14113,1.14126,1.1421934285714286,be_trail
2025-08-01 09:00:00,2025-08-01 09:15:00,short,1.14307,1.1432499999999999,1.143667142857143,1.1423534285714285,sl
2025-08-04 10:30:00,2025-08-04 11:30:00,long,1.15593,1.15612,1.1549835714285712,1.1570657142857141,sl
2025-08-04 11:45:00,2025-08-04 12:00:00,long,1.1551799999999999,1.15582,1.1551799999999999,1.1564494285714284,tp
2025-08-04 14:15:00,2025-08-04 14:30:00,short,1.15836,1.15802,1.15836,1.1572105714285714,tp
2025-08-05 01:30:00,2025-08-05 02:00:00,short,1.15796,1.15804,1.1584135714285715,1.1574157142857144,sl
2025-08-05 02:15:00,2025-08-05 03:15:00,short,1.1584699999999999,1.15869,1.1584699999999999,1.1579531428571428,be_trail
2025-08-06 13:15:00,2025-08-06 13:30:00,short,1.1604700000000001,1.15974,1.1612892857142858,1.1594868571428574,tp
2025-08-08 08:30:00,2025-08-08 08:45:00,long,1.16448,1.16419,1.1640064285714284,1.1650482857142856,sl
2025-08-08 22:30:00,2025-08-11 00:00:00,long,1.16424,1.16494,1.16424,1.1650628571428572,tp
2025-08-11 04:45:00,2025-08-11 05:00:00,short,1.16537,1.1659599999999999,1.1657657142857143,1.1648951428571428,sl
2025-08-11 05:30:00,2025-08-11 06:15:00,short,1.16666,1.167,1.1671042857142857,1.1661268571428571,sl
2025-08-12 12:30:00,2025-08-12 14:45:00,long,1.1606999999999998,1.16025,1.1599949999999999,1.1615459999999997,sl
2025-08-13 09:45:00,2025-08-13 10:00:00,short,1.16899,1.16929,1.1694864285714286,1.1683942857142857,sl
2025-08-15 04:45:00,2025-08-15 05:15:00,short,1.16571,1.16564,1.16571,1.1651922857142858,tp
2025-08-15 06:30:00,2025-08-15 06:45:00,short,1.16601,1.1663299999999999,1.1664878571428572,1.1654365714285715,sl
2025-08-18 00:15:00,2025-08-18 00:30:00,short,1.17118,1.17132,1.1715932142857144,1.1706841428571428,sl
2025-08-18 04:15:00,2025-08-18 04:45:00,long,1.1698,1.16958,1.1698,1.1703305714285714,be_trail
2025-08-18 09:45:00,2025-08-18 10:00:00,long,1.16971,1.1696900000000001,1.16971,1.1702345714285716,be_trail
2025-08-18 11:00:00,2025-08-18 11:15:00,long,1.1682,1.16726,1.1674907142857143,1.1690511428571428,sl
2025-08-19 10:00:00,2025-08-19 10:30:00,short,1.16747,1.1677199999999999,1.1680528571428572,1.1667705714285714,sl
2025-08-20 13:15:00,2025-08-20 13:45:00,short,1.16528,1.16482,1.16528,1.1644545714285714,tp
2025-08-20 15:45:00,2025-08-20 16:45:00,short,1.16651,1.16712,1.16651,1.1656022857142856,be_trail
2025-08-21 03:45:00,2025-08-21 04:00:00,long,1.16448,1.1647,1.1641317857142857,1.1648978571428572,tp
2025-08-21 08:15:00,2025-08-21 08:30:00,long,1.1642899999999998,1.16476,1.1642899999999998,1.1647245714285712,tp
2025-08-21 09:30:00,2025-08-21 09:45:00,long,1.16351,1.16319,1.1630607142857143,1.164049142857143,sl
2025-08-21 16:45:00,2025-08-21 17:00:00,long,1.16281,1.16212,1.1619692857142856,1.1638188571428572,sl
2025-08-22 06:15:00,2025-08-22 06:30:00,long,1.16065,1.16012,1.1601571428571429,1.1612414285714285,sl
2025-08-25 09:15:00,2025-08-25 09:30:00,short,1.17129,1.17196,1.1717335714285713,1.1707577142857142,sl
2025-08-26 21:00:00,2025-08-26 21:45:00,long,1.16385,1.16398,1.16385,1.1646582857142858,tp
2025-08-28 12:45:00,2025-08-28 13:15:00,short,1.165,1.16544,1.1657828571428572,1.1640605714285714,sl
2025-09-01 05:15:00,2025-09-01 05:30:00,short,1.17009,1.1705999999999999,1.1705035714285714,1.1695937142857145,sl
2025-09-01 23:00:00,2025-09-01 23:15:00,short,1.17123,1.17135,1.1714103571428571,1.1710135714285714,sl
2025-09-02 02:45:00,2025-09-02 03:00:00,short,1.17156,1.17157,1.17156,1.171293,be_trail
2025-09-02 04:15:00,2025-09-02 04:30:00,long,1.17038,1.17047,1.169992857142857,1.1708445714285713,sl
2025-09-03 03:15:00,2025-09-03 03:45:00,long,1.163,1.16297,1.163,1.1633454285714286,be_trail
2025-09-03 07:00:00,2025-09-03 07:30:00,long,1.16242,1.16279,1.16242,1.1629737142857144,tp
2025-09-03 09:45:00,2025-09-03 10:00:00,short,1.1639,1.1633799999999999,1.1639,1.1633642857142856,tp
2025-09-03 10:30:00,2025-09-03 10:45:00,long,1.16186,1.1623,1.16186,1.1626391428571428,tp
2025-09-03 11:15:00,2025-09-03 11:45:00,short,1.16469,1.16464,1.165552142857143,1.1636554285714287,sl
2025-09-03 17:15:00,2025-09-03 18:00:00,short,1.16693,1.1664299999999999,1.1679428571428572,1.1657145714285715,sl
2025-09-04 03:45:00,2025-09-04 04:00:00,long,1.16569,1.16589,1.1653739285714284,1.1660692857142856,sl
2025-09-04 06:15:00,2025-09-04 09:00:00,long,1.1652,1.16555,1.1652,1.1658188571428572,tp
2025-09-04 12:30:00,2025-09-04 13:00:00,long,1.16427,1.16433,1.16427,1.165212,tp
2025-09-04 15:45:00,2025-09-04 16:00:00,long,1.16347,1.16459,1.1625085714285714,1.1646237142857143,tp
2025-09-04 22:15:00,2025-09-05 02:30:00,short,1.16506,1.16527,1.1656192857142857,1.1643888571428571,sl
2025-09-05 02:45:00,2025-09-05 03:00:00,short,1.16561,1.16575,1.1658328571428571,1.1653425714285714,sl
2025-09-05 04:00:00,2025-09-05 04:15:00,short,1.16599,1.1663299999999999,1.1663157142857143,1.165599142857143,sl
2025-09-08 01:15:00,2025-09-08 01:30:00,long,1.1710399999999999,1.17114,1.1705864285714285,1.1715842857142855,sl
2025-09-08 08:30:00,2025-09-08 08:45:00,short,1.1719,1.17164,1.1719,1.1714431428571428,be_trail
2025-09-08 16:00:00,2025-09-08 16:15:00,short,1.1738,1.17509,1.1745128571428571,1.1729445714285713,sl
2025-09-10 10:00:00,2025-09-10 10:15:00,long,1.1698499999999998,1.16993,1.1698499999999998,1.1706582857142855,be_trail
2025-09-11 09:15:00,2025-09-11 09:30:00,long,1.16873,1.16937,1.16873,1.1692751428571428,tp
2025-09-12 10:00:00,2025-09-12 10:15:00,short,1.17398,1.17439,1.1745057142857143,1.173349142857143,sl
2025-09-15 06:30:00,2025-09-15 07:15:00,short,1.17322,1.17333,1.1735592857142856,1.172812857142857,sl
2025-09-16 03:45:00,2025-09-16 04:00:00,long,1.17603,1.17622,1.17603,1.1763514285714285,tp
2025-09-16 05:15:00,2025-09-16 05:45:00,short,1.17718,1.17736,1.177577857142857,1.1767025714285713,sl
2025-09-17 10:30:00,2025-09-17 11:45:00,long,1.18424,1.18452,1.18424,1.1848391428571428,tp
2025-09-18 07:45:00,2025-09-18 08:00:00,long,1.18035,1.1795200000000001,1.1798264285714286,1.1809782857142856,sl
2025-09-22 01:30:00,2025-09-22 02:45:00,long,1.17411,1.17397,1.1736853571428572,1.1746195714285714,sl
2025-09-22 03:15:00,2025-09-22 03:45:00,long,1.17356,1.17331,1.1731692857142857,1.1740288571428572,sl
2025-09-23 12:30:00,2025-09-23 13:00:00,short,1.18102,1.18032,1.18102,1.1799631428571429,tp
2025-09-23 19:30:00,2025-09-23 20:30:00,short,1.18054,1.18105,1.1813985714285713,1.1795097142857143,sl
2025-09-23 20:30:00,2025-09-23 20:45:00,short,1.18099,1.1815499999999999,1.1817549999999999,1.180072,sl
2025-09-24 03:30:00,2025-09-24 03:45:00,long,1.18073,1.18075,1.1803728571428571,1.1811585714285715,sl
2025-09-24 04:30:00,2025-09-24 06:00:00,long,1.1800199999999998,1.17969,1.179602857142857,1.1805205714285711,sl
2025-09-25 15:45:00,2025-09-25 16:45:00,long,1.17024,1.16939,1.169277142857143,1.1713954285714285,sl
2025-09-26 11:45:00,2025-09-26 12:30:00,short,1.16837,1.1682599999999999,1.16837,1.1676122857142857,be_trail
2025-09-26 13:45:00,2025-09-26 14:00:00,long,1.1669399999999999,1.16632,1.1663164285714285,1.1676882857142856,sl
2025-09-30 03:45:00,2025-09-30 04:30:00,long,1.17228,1.17237,1.1719317857142857,1.1726978571428572,sl
2025-09-30 05:00:00,2025-09-30 05:15:00,long,1.17147,1.17193,1.17147,1.1720477142857144,tp
2025-09-30 20:00:00,2025-09-30 21:00:00,short,1.17567,1.17499,1.17567,1.1744785714285715,tp
2025-10-01 07:30:00,2025-10-01 07:45:00,short,1.17451,1.1749800000000001,1.174895,1.174048,sl
2025-10-01 08:15:00,2025-10-01 08:45:00,short,1.1759,1.1758,1.1759,1.1753154285714285,tp
2025-10-02 03:15:00,2025-10-02 03:45:00,long,1.1726999999999999,1.17271,1.1726999999999999,1.1731037142857141,be_trail
2025-10-02 05:15:00,2025-10-02 06:00:00,short,1.17419,1.17378,1.17419,1.1736371428571428,tp
2025-10-03 02:45:00,2025-10-03 03:00:00,short,1.17251,1.17253,1.1727803571428572,1.1721855714285714,tp
2025-10-03 08:00:00,2025-10-03 09:00:00,long,1.17186,1.17172,1.17186,1.1723657142857142,be_trail
2025-10-03 10:45:00,2025-10-03 11:00:00,short,1.17307,1.17332,1.1736757142857144,1.172343142857143,sl
2025-10-03 11:30:00,2025-10-03 11:45:00,short,1.1737,1.174,1.1743035714285714,1.1729757142857142,sl
2025-10-08 03:15:00,2025-10-08 04:00:00,long,1.16482,1.16473,1.1645314285714286,1.1651662857142857,sl
2025-10-10 11:15:00,2025-10-10 11:45:00,short,1.15862,1.15865,1.15862,1.1576865714285713,be_trail
2025-10-10 15:00:00,2025-10-10 15:15:00,long,1.1561599999999999,1.1572,1.1561599999999999,1.1569914285714284,tp
2025-10-15 18:30:00,2025-10-15 18:45:00,short,1.16341,1.16448,1.1642435714285715,1.1624097142857144,sl
2025-10-16 14:30:00,2025-10-16 14:45:00,long,1.16478,1.16519,1.16478,1.165548,tp
2025-10-16 17:30:00,2025-10-16 17:45:00,short,1.1671,1.16706,1.1678535714285716,1.1661957142857142,sl
2025-10-16 20:15:00,2025-10-16 21:15:00,short,1.16902,1.16913,1.16902,1.1679734285714285,be_trail
2025-10-20 13:30:00,2025-10-20 14:30:00,long,1.16547,1.16523,1.1648514285714286,1.1662122857142858,sl
2025-10-20 20:45:00,2025-10-20 21:15:00,long,1.16439,1.16417,1.1638414285714287,1.1650482857142859,sl
